ticker,id,assetType,scoringMode,coveragePct,commonPct,technicalPct,valuationPct,qualityPct,riskPct,dividendPct,etfPct,missingCore
"BTC","BTC","crypto","scoreV2","73","100","56","","","","","","priceChange_1y|above_sma50|above_sma200|golden_cross"
"ETH","ETH","crypto","scoreV2","73","100","56","","","","","","priceChange_1y|above_sma50|above_sma200|golden_cross"
"XRP","XRP","crypto","scoreV2","73","100","56","","","","","","priceChange_1y|above_sma50|above_sma200|golden_cross"
"SOL","SOL","crypto","legacy","60","100","33","","","","","","priceChange_1y|sma50|rsi|above_sma50|above_sma200|golden_cross"
"ADA","ADA","crypto","legacy","53","100","22","","","","","","priceChange_1y|sma50|sma200|rsi|above_sma50|above_sma200|golden_cross"
"DOGE","DOGE","crypto","legacy","53","100","22","","","","","","priceChange_1y|sma50|sma200|rsi|above_sma50|above_sma200|golden_cross"
"AVAX","AVAX","crypto","legacy","40","100","0","","","","","","priceChange_1w|priceChange_1m|priceChange_1y|sma50|sma200|rsi|above_sma50|above_sma200"
"EXSA","EXSA","etf","legacy","70","100","100","","","","","13","holdings|holdings_count|top10Weight|ter|marketCap|bidAskSpread|yield"
"QDVE","QDVE","etf","legacy","70","100","100","","","","","13","holdings|holdings_count|top10Weight|ter|marketCap|bidAskSpread|yield"
"VWCE","VWCE","etf","legacy","70","100","100","","","","","13","holdings|holdings_count|top10Weight|ter|marketCap|bidAskSpread|yield"
"EUNN","EUNN","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"GRID","GRID","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"IS0D","IS0D","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"IU5C","IU5C","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"NUKL","NUKL","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"QDVF","QDVF","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"QDVK","QDVK","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"VVMX","VVMX","etf","legacy","65","100","100","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"2B7D","2B7D","etf","legacy","61","100","78","","","","","13","holdings|holdings_count|top10Weight|ter|marketCap|bidAskSpread|yield|priceChange_1w"
"IS3N","IS3N","etf","legacy","57","83","78","","","","","13","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|sma50"
"IXC","IXC","etf","legacy","57","100","67","","","","","13","holdings|holdings_count|top10Weight|ter|isin|bidAskSpread|yield|above_sma50"
"XDWF","XDWF","etf","legacy","57","100","56","","","","","25","holdings|holdings_count|top10Weight|ter|marketCap|bidAskSpread|rsi|above_sma50"
"XETR_VVMX","XETR_VVMX","etf","legacy","57","83","89","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"OIH","OIH","etf","legacy","52","100","67","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"EUNK","EUNK","etf","legacy","48","100","33","","","","","25","holdings|holdings_count|top10Weight|ter|bidAskSpread|yield|sma50|sma200"
"DAVV","DAVV","etf","legacy","43","100","33","","","","","13","holdings|holdings_count|top10Weight|ter|marketCap|bidAskSpread|yield|sma50"
"IUIT","IUIT","etf","legacy","43","100","22","","","","","25","holdings|holdings_count|top10Weight|ter|bidAskSpread|yield|priceChange_1w|priceChange_1m"
"LON:JEDI","LON_JEDI","etf","legacy","43","83","56","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"LON:XDWF","LON_XDWF","etf","legacy","43","83","56","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"IYG","IYG","etf","legacy","39","100","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"IYM","IYM","etf","legacy","39","100","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"KBWB","KBWB","etf","legacy","39","100","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"OPEN","OPEN","etf","legacy","39","100","11","","","","","25","holdings|holdings_count|top10Weight|ter|bidAskSpread|yield|priceChange_1w|priceChange_1m"
"2B76","2B76","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"LON:G2X","LON_G2X","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"LSE:VZLC","LSE_VZLC","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"LYM9:FRA:EUR","LYM9_FRA_EUR","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"LYP6","LYP6","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"SEC0","SEC0","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"VUAA","VUAA","etf","legacy","35","100","0","","","","","25","holdings|holdings_count|top10Weight|ter|bidAskSpread|yield|priceChange_1w|priceChange_1m"
"XDW0","XDW0","etf","legacy","35","83","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"BIT:SMEA","BIT_SMEA","etf","legacy","30","67","33","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"ESIF","ESIF","etf","legacy","30","83","0","","","","","25","holdings|holdings_count|top10Weight|ter|bidAskSpread|yield|priceChange_1w|priceChange_1m"
"G2X","G2X","etf","legacy","30","83","0","","","","","25","holdings|holdings_count|top10Weight|ter|bidAskSpread|yield|priceChange_1w|priceChange_1m"
"QQQ","QQQ","etf","legacy","30","100","11","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"VGK","VGK","etf","legacy","30","100","11","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"EQQB","EQQB","etf","legacy","26","83","11","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"QUTM","QUTM","etf","legacy","26","83","11","","","","","0","holdings|holdings_count|top10Weight|ter|isin|marketCap|bidAskSpread|yield"
"AAPL","AAPL","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"AMT","AMT","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"ASML","ASML","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"BAC","BAC","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"C","C","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"CVX","CVX","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"GOOGL","GOOGL","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"KO","KO","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"LMT","LMT","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"META","META","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"MSFT","MSFT","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"NEM","NEM","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"NOC","NOC","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"NVDA","NVDA","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"PEP","PEP","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"TTE","TTE","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"URI","URI","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"V","V","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"VZ","VZ","stock","scoreV2","63","100","67","83","29","38","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"AXP","AXP","stock","scoreV2","61","100","67","67","29","38","80","","ev_ebitda|fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt"
"CORT","CORT","stock","scoreV2","61","100","67","83","29","38","60","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"MO","MO","stock","scoreV2","61","100","67","83","29","25","80","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"NDAQ","NDAQ","stock","scoreV2","61","100","67","83","29","38","60","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"NVO","NVO","stock","scoreV2","61","100","67","67","29","38","80","","peg|fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt"
"PFE","PFE","stock","scoreV2","61","100","67","67","29","38","80","","peg|fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt"
"XOM","XOM","stock","scoreV2","61","100","67","83","29","38","60","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"F","F","stock","legacy","59","100","67","67","29","38","60","","pe|fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt"
"SAN","SAN","stock","legacy","59","100","67","50","29","38","80","","ev_ebitda|p_fcf|fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash"
"AMD","AMD","stock","legacy","56","100","67","83","29","38","20","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"AXON","AXON","stock","legacy","54","100","67","83","29","38","0","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"DRH","DRH","stock","legacy","54","100","100","50","14","38","0","","peg|ev_ebitda|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt"
"GFS","GFS","stock","legacy","54","100","67","83","29","38","0","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"TSLA","TSLA","stock","legacy","54","100","67","83","29","38","0","","fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash|netDebt|netDebtEbitda"
"WBD","WBD","stock","legacy","51","100","67","33","29","38","40","","forward_pe|peg|ev_ebitda|fcfYield|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt"
"MSTR","MSTR","stock","legacy","44","100","67","33","14","38","0","","pe|peg|p_fcf|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth"
"PLD","PLD","stock","legacy","44","100","11","67","14","38","60","","pe|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash"
"BLK","BLK","stock","legacy","41","100","11","67","14","38","40","","pe|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash"
"COR","COR","stock","legacy","41","100","11","67","14","38","40","","pe|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash"
"MA","MA","stock","legacy","41","100","11","67","14","38","40","","pe|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash"
"VRT","VRT","stock","legacy","41","83","56","33","14","0","80","","forward_pe|peg|p_fcf|fcfYield|roe|roa|roi|operatingMargin|freeCashflow|revenueGrowth"
"BBDC","BBDC","stock","legacy","39","100","11","50","14","38","40","","pe|peg|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt"
"ELI:SON","ELI_SON","stock","legacy","39","83","56","33","14","0","60","","forward_pe|peg|p_fcf|fcfYield|roe|roa|roi|operatingMargin|freeCashflow|revenueGrowth"
"SO","SO","stock","legacy","39","100","11","50","14","38","40","","pe|p_fcf|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt"
"SPCX","SPCX","stock","legacy","39","83","56","33","0","0","80","","forward_pe|peg|p_fcf|fcfYield|roic|roe|roa|roi|operatingMargin|freeCashflow"
"UNH","UNH","stock","legacy","39","100","11","67","14","38","20","","pe|fcfYield|roic|roe|roa|roi|freeCashflow|revenueGrowth|totalDebt|totalCash"
"BMW","BMW","stock","legacy","37","100","56","0","0","0","80","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roic|roe|roa|roi"
"BNP","BNP","stock","legacy","37","100","56","0","0","0","80","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roic|roe|roa|roi"
"D","D","stock","legacy","37","83","56","0","14","0","80","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roe|roa|roi|operatingMargin"
"O","O","stock","legacy","37","83","56","17","14","0","60","","forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roe|roa|roi|operatingMargin|freeCashflow"
"RHM","RHM","stock","legacy","37","100","56","17","0","0","60","","pe|forward_pe|peg|p_fcf|fcfYield|roic|roe|roa|roi|operatingMargin"
"CEG","CEG","stock","legacy","34","83","56","0","14","0","60","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roe|roa|roi|operatingMargin"
"EDP","EDP","stock","legacy","34","100","56","0","0","0","60","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roic|roe|roa|roi"
"EDPR","EDPR","stock","legacy","34","100","56","0","0","0","60","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roic|roe|roa|roi"
"ETN","ETN","stock","legacy","34","83","56","0","14","0","60","","pe|forward_pe|peg|ev_ebitda|p_fcf|fcfYield|roe|roa|roi|operatingMargin"
