ticker,nome,quantity,cost_basis_eur,avg_price_eur
VWCE,Vanguard FTSE All-World,33.592900,5277.20,157.0927
ALDRV,Drone Volt,1500.000000,1921.00,1.2807
IS3N,iShares Core MSCI EM IMI UCITS ETF USD (Acc),20.550600,976.99,47.5408
GRID,Nasdac Clean Energy Grid,14.073300,807.89,57.4060
CEG,Constellation Energy Corporation,1.532830,335.92,219.1502
G2X,VanEck Gold Miners UCITS ETF,4.000000,288.64,72.1600
GZUR,Physical Swiss Gold USD,0.750000,263.39,351.1867
CCJ,Cameco,2.812640,252.00,89.5955
XDWF,MSCI World Financials,0.536840,19.73,36.7429
XRP,XRP,13.000000,16.22,1.2477
